species;supplied_breed;country;iso3;most_common_name;transboundary_name;other_name;dadis_url
Equus caballus;Gelderlander;Netherlands;NLD;Gelders Paard;Gelder horse / Gelderland horse;Basispaard, Gelderland horse;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Horse&breed=Gelders%20Paard
Equus caballus;Tinker Horse;Netherlands;NLD;Tinker of Ierse Cob;Tinker;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Horse&breed=Tinker%20of%20Ierse%20Cob
Gallus gallus;Barnevelders;Netherlands;NLD;Barnevelder groot;Barnevelder;Barnevelder;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Barnevelder%20groot
Gallus gallus;Bearded Poland;Netherlands;NLD;Baardkuifhoen;Polands;Polands (bearded);https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Baardkuifhoen
Gallus gallus;Brabanter;Netherlands;NLD;Brabanter groot;;Brabanter Fowl;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Brabanter%20groot
Gallus gallus;Breda;Netherlands;NLD;Kraaikop groot;Kraienkoppe;Breda Fowl;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Kraaikop%20groot
Gallus gallus;Chaams Fowl;Netherlands;NLD;Chaams Hoen;;Chaam Fowl;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Chaams%20Hoen
Gallus gallus;Dutch Owl Beard;Netherlands;NLD;Uilebaard groot;;Owl-bearded Fowl;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Uilebaard%20groot
Gallus gallus;Eikenburg Bantam;Netherlands;NLD;Eikenburger kriel zwart;;Eikenburger bantam;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Eikenburger%20kriel%20zwart
Gallus gallus;Groningen Fowl;Netherlands;NLD;Groninger Meeuw groot;;Groninger Mew;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Groninger%20Meeuw%20groot
Gallus gallus;North Holland Blue;Netherlands;NLD;Noord-Hollandse Blauwe groot, koekoek;;North Holland blue Fowl;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Noord-Hollandse%20Blauwe%20groot,%20koekoek
Gallus gallus;Schijndelaar;Netherlands;NLD;Schijndelaar wit;;Schijndelaar Fowl;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Chicken&breed=Schijndelaar%20wit
Ovis aries;Drenth heath;Netherlands;NLD;Drents Heideschaap;Drenthe Heath Sheep;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Sheep&breed=Drents%20Heideschaap
Ovis aries;Friesian Milk Sheep;Netherlands;NLD;Nederlands Melkschaap;Friesian Milk;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Sheep&breed=Nederlands%20Melkschaap
Sus scrofa;Bentheim Black Pied;Netherlands;NLD;Bentheimer varken;Bunte Bentheimer;Bonte Bentheimer;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Bentheimer%20varken
Sus scrofa;Topigs A-line;Netherlands;NLD;Topigs A-lijn;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20A-lijn
Sus scrofa;Topigs B-line;Netherlands;NLD;Topigs B-lijn;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20B-lijn
Sus scrofa;Topigs E-line;Netherlands;NLD;Topigs E-lijn;Large White;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20E-lijn
Sus scrofa;Topigs L-line;Netherlands;NLD;Topigs L-lijn;Norwegian Landrace;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20L-lijn
Sus scrofa;Topigs N-line;Netherlands;NLD;Topigs N-lijn;Dutch Landrace;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20N-lijn
Sus scrofa;Topigs T-line;Netherlands;NLD;Topigs T-lijn;;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20T-lijn
Sus scrofa;Topigs Y-line;Netherlands;NLD;Topigs Y-lijn;Yorkshire;;https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20Y-lijn
Sus scrofa;Topigs Z-line;Netherlands;NLD;Topigs Z line (Large White);Large White;Great Yorkshire damline (GY-z);https://fao-dadis-breed-detail.firebaseapp.com/?country=NLD&specie=Pig&breed=Topigs%20Z%20line%20(Large%20White)
